明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
再看这三个字形，第一个是两只手恭恭敬敬地捧着“册”；第二个字中，六形是个底座，其中上面是搁板，下面是支撑它的脚，册”被庄重地安放在底座上；第三个字形，是两只手捧着“册”将它陈放在底座上。	Complex 44 46 搁板
天每天升高一丈，地每天下沉一丈，盘古也随着越长越高。	Hard 5 7 一丈
而从这一天起，他就不断地有作品问世，他高产，稳产，显示出炉火纯青的功力，令我惊叹。	Complex 28 32 炉火纯青
于是，伯父家盖房，想以它垒山墙，但苦于它极不规则，没棱角儿，也没平面儿；用錾破开吧，又懒得花那么大气力，因为河滩并不甚远，随便去掮一块回来，哪一块也比它强。	Hard 37 38 錾
每天回家，曲折穿过金门街到厦门街迷宫式的长巷短巷，雨里风里，走入霏霏令人更想入非非。	Hard 32 34 霏霏
至于视觉经验，也都表现得很有动感：写荷花迎风则“红披绿偃，摇荡葳蕤”，写微风拂水则“细生鳞甲”，写流萤则“（幽火）班班，若骇若惊，奄忽去来”，写山则“森森欲下搏人”。	Hard 65 69 奄忽去来
20世纪60年代的一天，周恩来总理在中南海勤政厅招待外宾，客人对中国菜肴风味之独特、味道之鲜美大为赞赏。	Complex 34 36 菜肴
店家赶出来叫道：“客官哪里去？”	Complex 9 11 客官
自然，也可以扩大精神，增加智识的，但这些倒都不计及，一计及，便等于意在赢钱的博徒了，这在博徒之中，也算是下品。	Hard 27 29 计及
本来村里还有一个老信客。	Complex 9 11 信客
一种浓酽的悔意涌上心头，他想马上找到那不见身影的老人，把钱包奉还……	Hard 2 4 浓酽
他仍是衣衫不整，仍是一面踱步一面埋头沉思。	Complex 3 7 衣衫不整
围着看热闹的细娃们，哈哈大笑，为刘伯承的胜利喝彩。	Complex 22 24 喝彩
而笼子里换上了一只小豹，即使感觉最迟钝的人看到在弃置了如此长时间的笼子里，这只凶猛的野兽不停地蹦来跳去，他也会感到赏心悦目，心旷神怡。	Complex 62 66 心旷神怡
它的眼睛闪闪有光，并且目光十分坦率；它的耳朵也长得好，并且不大不小，不像牛耳太短，驴耳太长；它的鬣毛正好衬着它的头，装饰着它的颈部，给予它一种强劲而豪迈的模样；它那下垂而茂盛的尾巴覆盖着、并且美观地结束着它的身躯的末端：马尾和鹿、象等的短尾，驴、骆驼、犀牛等的秃尾都大不相同，它是密而长的鬃毛构成的，仿佛这些鬃毛就直接从屁股上生长出来，因为长出鬃毛的那个小肉桩子很短。	Hard 144 146 鬃毛
我心里还愤愤的，以为惩戒得还没有快意。	Hard 16 18 快意
杀好了腰，再穿上肥腿的白裤，裤脚用鸡肠子带儿系住，露出那对"出号"的大脚！	Hard 17 20 鸡肠子
荀子阐发孟子的人伦说，提出“群居和一”之道（《荀子・荣辱》），作为人类生活的基本准则。	Hard 14 18 群居和一
况且如今这个货也短，你就拿现银子到我们这不三不四的铺子里来买，也还没有这些，只好倒扁儿去。	Hard 40 44 倒扁儿去
你看田间那些挥镰的农民，弯着腰，流着汗，只想着快割，快割;麦子上场了，有想着快打，快打.	Complex 6 8 挥镰
屋顶的坡度就随着这挙架，由下段的檐部缓和的坡度逐步增高为近屋脊处的陡斜，成了缓和的弯曲面。	Hard 9 11 挙架
一直奔到大海，仍然毫无惧色，纷纷跳将下去，被汹涌澎湃的波涛吞没，直到全军覆没为止。	Complex 9 13 毫无惧色
“公等”是指徐霞客一行冒雪攀山的游客，仰见下山的群僧，乃有“冉冉僧一群从天而下”的奇句，虽武侠片也	Hard 30 32 冉冉
据说他是古代的巨富之一，他的名字已成为“富豪”的同义语。	Complex 7 9 巨富
河蚌急忙把壳儿合上，牢牢地夹住鹬的嘴不放。	Hard 15 16 鹬
哪有酿葡萄酒还要放酒药的道理？	Hard 9 11 酒药
章太炎笑了笑，说都不是。	Complex 0 3 章太炎
如有过往客商人等，可于巳、午、未三个时辰，结伴过冈。	Hard 11 12 巳
将来，也许会有地心飞船找到‘落日六号’并同它对接，但愿那时我留下的资料会有用。	Hard 22 24 对接
狠心的宙斯又派了一只凶恶的鹫鹰，每天站在普罗米修斯的双膝上，用它尖利的嘴巴，啄食他的肝脏。	Complex 38 40 啄食
从前有一个叫砰砰城的国家，那里是世界上最吵闹的地方。	Complex 6 9 砰砰城
提了一条齐眉短棒，奔出南门，一道烟走了。	Hard 14 17 一道烟
那条白线很快地向前移动，逐渐拉长，变粗，横贯江面。	Complex 20 24 横贯江面
雪花落在积得厚厚的雪褥上面，听去似乎瑟瑟有声，使人更加感得沉寂。	Complex 9 11 雪褥
他和妈妈把爸爸的骨灰盒请回来，放在爸爸生前读书的写字台上，那顶象征和平的蓝盔搁置其上。	Hard 36 38 蓝盔
这时他才发现，那不是一块黑板，而是一辆马车车厢的后壁。	Hard 24 26 后壁
刘：各位听众，这时候我们看到直升机已经飞抵落点上方，对火箭落水瞬间施放的荧光染色剂进行精度照相测量。	Hard 43 45 精度
这位官员的运气并不比头一位钦差大臣好：他看了又看，但是那两架空织布机上什么也没有，他什么东西也看不出来。	Complex 13 17 钦差大臣
拯救了这条生命我多么高兴啊！	Complex 0 2 拯救
一个好心肠的老伯伯走过来问小姑娘：“孩子，你在等谁呀？”	Complex 2 5 好心肠
来年的春上，法桐又长满了叶子，依然是浅绿的好，深绿的也好。	Complex 6 8 法桐
大禹治水，受到各部落拥戴，于公元前21世纪建立了夏朝。	Complex 10 12 拥戴
只有萨伐河上的一座桥和那个小小的桥头堡还在德国人手里。	Complex 2 5 萨伐河
这是一个有雾的日子，中午的时候，累赘的包袱压得他受不了。	Complex 19 21 包袱
有弗学，学之弗能弗措也；有弗问，问之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗笃弗措也。	Hard 0 3 有弗学
就这样，鹬蚌相持着，谁也不让谁。	Hard 4 8 鹬蚌相持
每个牧人都不知道自己是歌唱家。	Hard 2 4 牧人
缅伯高晓行夜宿，餐风饮露，来到陕西沔阳，离京城已经不远，见一片湖水在前，十分清澈。	Complex 0 3 缅伯高
在布热金卡，本来不该有阳光照耀，不该有光亮，不该有碧绿的草地，不该有孩子们的嬉笑。	Complex 13 15 照耀
我们只能在樵夫的茅草房的烟囱里偶尔看见冒出几缕黑烟，谁能分得出那一缕是树苗的，那一缕是茅草的化身？	Complex 5 7 樵夫
从五言律诗到七言律诗，问题很简单：只消在每句前面加上平仄相反的两个字就成了。	Hard 26 28 平仄
此封短短的信给了我极大的感情震荡。	Complex 14 16 震荡
我们沿着小路来到井房。	Complex 8 10 井房
我空着肚子，又推了几步，实在推不动了，产生了“偷劲”的念头。	Hard 23 25 偷劲
忽而一个红衫的小丑被绑在台柱子上，给一个花白胡子的用马鞭打起来了，大家才又振作精神的笑着看。	Complex 37 41 振作精神
但是让我们剖开一只蟋蟀看看吧。	Hard 9 11 蟋蟀
那朵红莲，被那繁密的雨点，打得左右欹斜。	Hard 17 19 欹斜
需要在这一段的开头加上一两个句子，使上下文衔接自然，紧密贯通。	Complex 26 30 紧密贯通
在春暖时节，有一夜，我在睡梦中好像听到小院书房的窗纸响，第二天发现窗棂上果然撕破了一个洞，显然地是有野猫钻了进去。	Hard 33 35 窗棂
梁思成第一个抓住铁索，两腿悬空地往刹尖攀援。	Hard 17 19 刹尖
他发现：根据爱因斯坦的公式，铀的链式反应所释放出的能量，威力比普通炸弹不知高出多少倍，刹那间，能把干万生命烧成灰烬。	Hard 14 15 铀
事后我追想为什么会有那样大的感情震荡，是为了民族而自豪？	Complex 16 18 震荡
根据这个传说，人们用“杏林”称颂医生，用“杏林春满”或“誉满杏林”等成语来赞扬医生的高明医术和高尚医德。	Complex 28 32 誉满杏林
小朋友临走时，槐乡的孩子还会送他一大包蒸过晒干的槐花，外加一小罐清亮清亮的槐花新蜜。	Hard 39 41 新蜜
我一时不知所措,窘得满脸通红。	Complex 3 7 不知所措
看吧，狂风紧紧抱起一堆巨浪，恶狠狠地扔到峭崖上，把这大块的翡翠摔成尘雾和水末。	Complex 20 22 峭崖
由此可见，用螫针重复刺三次，真是再符合逻辑不过的了。	Hard 6 8 螫针
他整天呆在邯郭的大街上，看人家走路，边看边琢磨人家走路的特点，还跟在后边模仿。	Complex 21 23 琢磨
因为他身上穿的还是那样一种浅蓝的土靛染的粗布裤褂。	Hard 16 18 土靛
这一篇讲演分三次讲完，每次讲过，先生大汗淋漓，状极愉快。	Complex 23 27 状极愉快
“三十二个鬼子……”	Hard 5 7 鬼子
据说住在竹楼上面，急雨声如瀑布，密雪声比辟玉。	Hard 19 22 比辟玉
黄山最妙的观松处，当然是曾被徐霞客称为“黄山绝胜处”的玉屏楼了。	Complex 22 25 绝胜处
经过了寂寞的冬天，到了第二年，春水盈塘，绿柳垂丝，一片旖旎的风光。	Complex 27 29 旖旎
唐朝的都城长安是当时最大的国际都会，在人世纪前半叶，人口已经达到百万之多，居住着不少任职于唐朝的外国人、留学生、学问僧、求法僧、外国的艺术家，以及大量外来的商贾。	Hard 15 17 都会
有些猛一看与耳朵的形状相差甚远，但是考虑到外耳奇特的构造，那些字形的样子也就不足为怪了。	Complex 11 15 相差甚远
这些作品虽成过去，却仍虎虎有神，正如唐人郭震所形容的：“虽复尘埋无所用，犹能夜夜气冲天。”	Hard 28 35 虽复尘埋无所用
当人们旅行得渴不可耐的时候，忽然看见一个很大的湖，里面蓄着碧蓝的清水，看来并不很远。	Complex 27 29 蓄着
孙中山小的时候在私塾读书．那时候上课，只是先生念，学生跟着读，然后把读的段落背诵下来．至于书里的意思，先生从来不讲解。	Complex 8 10 私塾
在凉山彝族群众心目中，火是圣物，它能够净化一切。	Complex 3 5 彝族
刘鹗先生是个很有文学天才的人；他的文学见解也很超脱。	Hard 0 2 刘鹗
但我跟他的差距越来越小，我屡屡拿第二，而约翰逊总是第一！	Complex 13 15 屡屡
若果他那文章还值得称引，我们尚可以就“沅有芷兮澧有兰”与“乘舲上沅”这些话，估想他当年或许就坐了这种小船，溯流而上，到过出产香草香花的沅州。	Hard 29 33 乘舲上沅
“蜀道之难难于上青天”，“天姥连天向天横”，这个“上青天”、“向天横”都是直上直下将人的生命与宇宙生命相贯通。	Hard 13 20 天姥连天向天横
四叔皱了皱眉，四婶已经知道了他的意思，是在讨厌她是一个寡妇。	Hard 27 29 寡妇
旧籍记载荔枝，说到有的品种皮粗厚，刺尖，唐代徐夤诗云“龙绢壳绽红纹粟”，就已观察到这种构造。	Hard 22 24 徐夤
所以家乡老辈都说我“像个先生样子”，遂叫我做“穈先生”。	Hard 23 26 穈先生
代表本地的出产，边街上有几十家玉器作，用珉石染红着绿，琢成酒杯笔架等物，货物品质平平常常，价钱却不轻贱。	Hard 20 22 珉石
贾芸便呆呆的坐到晌午，打听凤姐回来。	Hard 8 10 晌午
“诸位爱卿，”他颓丧地向他的四位枢密参赞说道，“在寡人登基三十周年纪念的今天，竟有歹徒将一封黑信投进了寡人所乘的马车。	Hard 16 20 枢密参赞
野生状态中，在阳光强烈的地方，红、橙、黄花反射了热效应大的长光波，不致引起灼伤，有保护的作用。	Hard 24 27 热效应
民间所传二十八宿，即刘秀的二十八个主要干部，多是出生于南阳一带。	Hard 4 8 二十八宿
抬头一看，一座八角宝塔形的三层建筑耸立在半山腰上，黄色的琉璃瓦闪闪发光。	Complex 31 35 闪闪发光
要是暂时经过苦难，重新克服了困境，就会说：“两岸猿声啼不住，轻舟已过万重山！”	Hard 26 27 啼
等它吃过一口饭，踏着方步去喝水、吃泥、吃草的当儿，狗就敏捷地跑过来，努力地吃它的饭。	Hard 10 12 方步
葛修润站起来：“我想耽误一会儿大家的吃饭时间，再谈谈白鹤梁的保护问题。”	Complex 10 12 耽误
“推”固然显得鲁莽一点，但是它表示孤僧步月归寺，门原来是他自己掩的，于今他“推”。	Complex 17 20 孤僧步
大圣不恋战，只情跑起。	Hard 6 10 只情跑起
是在我们结婚的大喜之日，她的“拜钱”。	Hard 15 17 拜钱
但是这个估算值仍然只达到要使宇宙重新坍缩的临界质量的百分之十左右。	Complex 4 7 估算值
（《礼记・坊记》）范仲淹所说“先天下之忧而忧，后天下之乐而乐”＂（《岳阳楼记》）也体现了这种精神。	Hard 15 22 先天下之忧而忧
诸葛亮说：“都督委托，当然照办。	Complex 6 8 都督
不少君主重视求谏，尧设诽谤之木，舜悬招谏之鼓；封建时设立谏诤机构，付薪水养了一批谏议大夫、拾遣、补阙、正言之类的官员专挑皇帝的毛病，都是对批评稀缺的补救措施。	Complex 45 47 拾遣
